500	2500	Pair
0	290320	117	500	1	4.2735
0	289126	116	500	1	4.31034
0	288623	116	500	1	4.31034
0	294851	118	500	1	4.23729
0	288117	116	500	1	4.31034
0	287024	115	500	1	4.34783
0	287832	116	500	1	4.31034
0	285234	115	500	1	4.34783
0	289418	116	500	1	4.31034
0	284855	114	500	1	4.38596
0	285878	115	500	1	4.34783
0	285512	115	500	1	4.34783
0	290761	117	500	1	4.2735
0	287459	115	500	1	4.34783
0	280319	113	500	1	4.42478
0	287531	116	500	1	4.31034
0	283764	114	500	1	4.38596
0	299333	120	500	1	4.16667
0	290740	117	500	1	4.2735
0	293643	118	500	1	4.23729
0	277178	111	500	1	4.5045
0	291115	117	500	1	4.2735
0	299461	120	500	1	4.16667
0	289453	116	500	1	4.31034
0	292318	117	500	1	4.2735
0	295554	119	500	1	4.20168
0	280174	113	500	1	4.42478
0	290260	117	500	1	4.2735
0	286294	115	500	1	4.34783
0	278884	112	500	1	4.46429
0	289368	116	500	1	4.31034
0	296875	119	500	1	4.20168
0	292131	117	500	1	4.2735
0	277033	111	500	1	4.5045
0	286471	115	500	1	4.34783
0	280559	113	500	1	4.42478
0	274395	110	500	1	4.54545
0	285655	115	500	1	4.34783
0	276810	111	500	1	4.5045
0	285778	115	500	1	4.34783
0	286534	115	500	1	4.34783
0	292171	117	500	1	4.2735
0	305584	123	500	1	4.06504
0	289178	116	500	1	4.31034
0	285472	115	500	1	4.34783
0	278638	112	500	1	4.46429
0	288493	116	500	1	4.31034
0	295248	119	500	1	4.20168
0	287258	115	500	1	4.34783
0	278790	112	500	1	4.46429
0	287096	115	500	1	4.34783
0	289055	116	500	1	4.31034
0	284387	114	500	1	4.38596
0	284904	114	500	1	4.38596
0	291408	117	500	1	4.2735
0	288905	116	500	1	4.31034
0	298256	120	500	1	4.16667
0	293201	118	500	1	4.23729
0	283648	114	500	1	4.38596
0	282954	114	500	1	4.38596
0	292691	118	500	1	4.23729
0	288040	116	500	1	4.31034
0	290617	117	500	1	4.2735
0	293455	118	500	1	4.23729
0	287476	115	500	1	4.34783
0	286063	115	500	1	4.34783
0	284786	114	500	1	4.38596
0	285436	115	500	1	4.34783
0	285253	115	500	1	4.34783
0	273468	110	500	1	4.54545
0	291632	117	500	1	4.2735
0	283591	114	500	1	4.38596
0	286746	115	500	1	4.34783
